gene_identifier	macM	macF	mouse	pig	human
gene_2042	RFTN1	RFTN1	Rftn1	RFTN1	RFTN1
gene_2043	PTDSS1	PTDSS1	Ptdss1	PTDSS1	PTDSS1
gene_2044	PGF	PGF	Pgf	PGF	PGF
gene_2045	PHAX	PHAX	Phax	PHAX	PHAX
gene_2046	DERA	DERA	Dera	DERA	DERA
gene_2047	LHCGR	LHCGR	Lhcgr	LHCGR	LHCGR
gene_2048	TNS4	TNS4	Tns4	TNS4	TNS4
gene_2049	NIM1K	NIM1K	Nim1k	NIM1K	NIM1K
gene_2050	TAF1D	TAF1D	Taf1d	TAF1D	TAF1D
gene_2051	ATRX	ATRX	Atrx	ATRX	ATRX
gene_2052	SETX	SETX	Setx	SETX	SETX
gene_2053	COPRS	COPRS	Coprs	COPRS	COPRS
gene_2054	EIF2B2	EIF2B2	Eif2b2	EIF2B2	EIF2B2
gene_2055	PANK4	PANK4	Pank4	PANK4	PANK4
gene_2056	NAGA	NAGA	Naga	NAGA	NAGA
gene_2057	GPATCH8	GPATCH8	Gpatch8	GPATCH8	GPATCH8
gene_2058	MNS1	MNS1	Mns1	MNS1	MNS1
gene_2059	KCNG3	KCNG3	Kcng3	KCNG3	KCNG3
gene_2060	PTGES	PTGES	Ptges	PTGES	PTGES
gene_2061	TNFRSF11B	TNFRSF11B	Tnfrsf11b	TNFRSF11B	TNFRSF11B
gene_2062	MLH3	MLH3	Mlh3	MLH3	MLH3
gene_2063	BCL2L14	BCL2L14	Bcl2l14	BCL2L14	BCL2L14
gene_2064	GALK2	GALK2	Galk2	GALK2	GALK2
gene_2065	TTF1	TTF1	Ttf1	TTF1	TTF1
gene_2066	CMTM8	CMTM8	Cmtm8	CMTM8	CMTM8
gene_2067	IRX1	IRX1	Irx1	IRX1	IRX1
gene_2068	STRN	STRN	Strn	STRN	STRN
gene_2069	CSTF1	CSTF1	Cstf1	CSTF1	CSTF1
gene_2070	PRR16	PRR16	Prr16	PRR16	PRR16
gene_2071	LECT2	LECT2	Lect2	LECT2	LECT2
gene_2072	HBS1L	HBS1L	Hbs1l	HBS1L	HBS1L
gene_2073	PHETA2	PHETA2	Pheta2	PHETA2	PHETA2
gene_2074	NCAN	NCAN	Ncan	NCAN	NCAN
gene_2075	GRM7	GRM7	Grm7	GRM7	GRM7
gene_2076	CCDC134	CCDC134	Ccdc134	CCDC134	CCDC134
gene_2077	VPS13D	VPS13D	Vps13d	VPS13D	VPS13D
gene_2078	SMCR8	SMCR8	Smcr8	SMCR8	SMCR8
gene_2079	PICALM	PICALM	Picalm	PICALM	PICALM
gene_2080	SNAI2	SNAI2	Snai2	SNAI2	SNAI2
gene_2081	HABP2	HABP2	Habp2	HABP2	HABP2
gene_2082	RALGPS1	RALGPS1	Ralgps1	RALGPS1	RALGPS1
gene_2083	FAM83G	FAM83G	Fam83g	FAM83G	FAM83G
gene_2084	CENPA	CENPA	Cenpa	CENPA	CENPA
gene_2085	HMGXB4	HMGXB4	Hmgxb4	HMGXB4	HMGXB4
gene_2086	CDH6	CDH6	Cdh6	CDH6	CDH6
gene_2087	MTBP	MTBP	Mtbp	MTBP	MTBP
gene_2088	PCED1B	PCED1B	Pced1b	PCED1B	PCED1B
gene_2089	RTF2	RTF2	Rtf2	RTF2	RTF2
gene_2090	SUGP1	SUGP1	Sugp1	SUGP1	SUGP1
gene_2091	NT5C3B	NT5C3B	Nt5c3b	NT5C3B	NT5C3B
gene_2092	NKX1-2	NKX1-2	Nkx1-2	NKX1-2	NKX1-2
gene_2093	LHPP	LHPP	Lhpp	LHPP	LHPP
gene_2094	B4GALNT3	B4GALNT3	B4galnt3	B4GALNT3	B4GALNT3
gene_2095	HOMER1	HOMER1	Homer1	HOMER1	HOMER1
gene_2096	EFEMP1	EFEMP1	Efemp1	EFEMP1	EFEMP1
gene_2097	ZC2HC1C	ZC2HC1C	Zc2hc1c	ZC2HC1C	ZC2HC1C
gene_2098	DHX32	DHX32	Dhx32	DHX32	DHX32
gene_2099	MTERF3	MTERF3	Mterf3	MTERF3	MTERF3
gene_2100	TMED10	TMED10	Tmed10	TMED10	TMED10
gene_2101	MCM5	MCM5	Mcm5	MCM5	MCM5
gene_2102	SLC38A4	SLC38A4	Slc38a4	SLC38A4	SLC38A4
gene_2103	FGD5	FGD5	Fgd5	FGD5	FGD5
gene_2104	HTRA1	HTRA1	Htra1	HTRA1	HTRA1
gene_2105	mml-mir-99a	MIR99A	Mir99a	MIR99A	MIR99A
gene_2106	MIRLET7C	MIRLET7C	Mirlet7c-1	ssc-let-7c	MIRLET7C
gene_2107	MVB12B	MVB12B	Mvb12b	MVB12B	MVB12B
gene_2108	TIAM1	TIAM1	Tiam1	TIAM1	TIAM1
gene_2109	DSCC1	DSCC1	Dscc1	DSCC1	DSCC1
gene_2110	SERPINA5	SERPINA5	Serpina5	SERPINA5	SERPINA5
gene_2111	MRPL13	MRPL13	Mrpl13	MRPL13	MRPL13
gene_2112	CASS4	CASS4	Cass4	CASS4	CASS4
gene_2113	THBS4	THBS4	Thbs4	THBS4	THBS4
gene_2114	AMN1	AMN1	Amn1	AMN1	AMN1
gene_2115	FSHR	FSHR	Fshr	FSHR	FSHR
gene_2116	CHRNA3	CHRNA3	Chrna3	CHRNA3	CHRNA3
gene_2117	NDUFAF5	NDUFAF5	Ndufaf5	NDUFAF5	NDUFAF5
gene_2118	PAPPA	PAPPA	Pappa	PAPPA	PAPPA
gene_2119	RRAGB	RRAGB	Rragb	RRAGB	RRAGB
gene_2120	HMOX1	HMOX1	Hmox1	HMOX1	HMOX1
gene_2121	CCN3	CCN3	Ccn3	CCN3	CCN3
gene_2122	GALNT12	GALNT12	Galnt12	GALNT12	GALNT12
gene_2123	G6PC1	G6PC1	G6pc	G6PC1	G6PC1
gene_2124	VSIG1	VSIG1	Vsig1	VSIG1	VSIG1
gene_2125	TMEM74	TMEM74	Tmem74	TMEM74	TMEM74
gene_2126	FBXO32	FBXO32	Fbxo32	FBXO32	FBXO32
gene_2127	KIAA0930	KIAA0930	5031439G07Rik	KIAA0930	KIAA0930
gene_2128	EHD3	EHD3	Ehd3	EHD3	EHD3
gene_2129	PRRG1	TSPAN7	Tspan7	TSPAN7	TSPAN7
gene_2130	CNIH1	CNIH1	Cnih1	CNIH1	CNIH1
gene_2131	STARD3	STARD3	Stard3	STARD3	STARD3
gene_2132	ZNFX1	ZNFX1	Znfx1	ZNFX1	ZNFX1
gene_2133	MYO9A	MYO9A	Myo9a	MYO9A	MYO9A
gene_2134	PAPOLG	PAPOLG	Papolg	PAPOLG	PAPOLG
gene_2135	TEX36	TEX36	Tex36	TEX36	TEX36
gene_2136	MRPL15	MRPL15	Mrpl15	MRPL15	MRPL15
gene_2137	CFP	CFP	Cfp	CFP	CFP
gene_2138	GMFB	GMFB	Gmfb	GMFB	GMFB
gene_2139	SGSM1	SGSM1	Sgsm1	SGSM1	SGSM1
gene_2140	FCHSD2	FCHSD2	Fchsd2	FCHSD2	FCHSD2
gene_2141	STRAP	STRAP	Strap	STRAP	STRAP
gene_2142	TM9SF3	TM9SF3	Tm9sf3	TM9SF3	TM9SF3
gene_2143	OLFML2A	OLFML2A	Olfml2a	OLFML2A	OLFML2A
gene_2144	DDX3X	DDX3X	Ddx3x	DDX3X	DDX3X
gene_2145	LIN28B	LIN28B	Lin28b	LIN28B	LIN28B
gene_2146	C19H19orf44	C19orf44	1700030K09Rik	C19orf44	C19orf44
gene_2147	FABP7	FABP7	Fabp7	FABP7	FABP7
gene_2148	SAMD4A	SAMD4A	Samd4	SAMD4A	SAMD4A
gene_2149	HINT3	HINT3	Hint3	HINT3	HINT3
gene_2150	GATD3	GATD3	Gatd3a	GATD3	GATD3
gene_2151	SNORD12	SNORD12	Snord12	SNORD12	SNORD12
gene_2152	PARD6B	PARD6B	Pard6b	PARD6B	PARD6B
gene_2153	RRAGD	RRAGD	Rragd	RRAGD	RRAGD
gene_2154	CHMP5	CHMP5	Chmp5	CHMP5	CHMP5
gene_2155	MOCS3	MOCS3	Mocs3	MOCS3	MOCS3
gene_2156	CCDC184	CCDC184	Ccdc184	CCDC184	CCDC184
gene_2157	ENDOU	ENDOU	Endou	ENDOU	ENDOU
gene_2158	GABBR2	GABBR2	Gabbr2	GABBR2	GABBR2
gene_2159	CYP4F22	CYP4F22	Cyp4f39	CYP4F22	CYP4F22
gene_2160	CRNKL1	CRNKL1	Crnkl1	CRNKL1	CRNKL1
gene_2161	HADHB	HADHB	Hadhb	HADHB	HADHB
gene_2162	EPB41L2	EPB41L2	Epb41l2	EPB41L2	EPB41L2
gene_2163	ZDHHC16	ZDHHC16	Zdhhc16	ZDHHC16	ZDHHC16
gene_2164	SUMF1	SUMF1	Sumf1	SUMF1	SUMF1
gene_2165	GUCD1	GUCD1	Gucd1	GUCD1	GUCD1
gene_2166	RBP7	RBP7	Rbp7	RBP7	RBP7
gene_2167	YJEFN3	YJEFN3	Yjefn3	YJEFN3	YJEFN3
gene_2168	WDHD1	WDHD1	Wdhd1	WDHD1	WDHD1
gene_2169	GPR157	GPR157	Gpr157	GPR157	GPR157
gene_2170	ZBTB40	ZBTB40	Zbtb40	ZBTB40	ZBTB40
gene_2171	F2	F2	F2	F2	F2
gene_2172	INTS13	INTS13	Ints13	INTS13	INTS13
gene_2173	CAPN3	CAPN3	Capn3	CAPN3	CAPN3
gene_2174	AMOTL1	AMOTL1	Amotl1	AMOTL1	AMOTL1
gene_2175	MEOX1	MEOX1	Meox1	MEOX1	MEOX1
gene_2176	U2	U2	Gm25572	U2	RNU2-47P
gene_2177	RNase_MRP	RNase_MRP	Rmrp	RNase_MRP	RMRPP5
gene_2178	USHBP1	USHBP1	Ushbp1	USHBP1	USHBP1
gene_2179	SPRYD3	SPRYD3	Spryd3	SPRYD3	SPRYD3
gene_2180	DHX8	DHX8	Dhx8	DHX8	DHX8
gene_2181	RBMS3	RBMS3	Rbms3	RBMS3	RBMS3
gene_2182	U6	U6	Gm23947	U6	RNU6-1039P
gene_2183	mml-mir-455	MIR455	Mir455	MIR455	MIR455
gene_2184	mml-mir-181b-2	MIR181B2	Mir181b-2	ssc-mir-181b-2	MIR181B2
gene_2185	CEP295	CEP295	Cep295	CEP295	CEP295
gene_2186	CACNG2	CACNG2	Cacng2	CACNG2	CACNG2
gene_2187	RNU6ATAC	RNU6ATAC	Gm25541	RNU6ATAC	RNU6ATAC
gene_2188	SMOC1	SMOC1	Smoc1	SMOC1	SMOC1
gene_2189	SLC2A8	SLC2A8	Slc2a8	SLC2A8	SLC2A8
gene_2190	SLC34A2	SLC34A2	Slc34a2	SLC34A2	SLC34A2
gene_2191	RNF24	RNF24	Rnf24	RNF24	RNF24
gene_2192	LARGE1	LARGE1	Large1	LARGE1	LARGE1
gene_2193	MATN2	MATN2	Matn2	MATN2	MATN2
gene_2194	MAML2	MAML2	Maml2	MAML2	MAML2
gene_2195	NSFL1C	NSFL1C	Nsfl1c	NSFL1C	NSFL1C
gene_2196	FEZ2	FEZ2	Fez2	FEZ2	FEZ2
gene_2197	FRMD6	FRMD6	Frmd6	FRMD6	FRMD6
gene_2198	CHERP	CHERP	Cherp	CHERP	CHERP
gene_2199	AQP11	AQP11	Aqp11	AQP11	AQP11
gene_2200	TYR	TYR	Tyr	TYR	TYR
gene_2201	TMEM117	TMEM117	Tmem117	TMEM117	TMEM117
gene_2202	HES5	HES5	Hes5	HES5	HES5
gene_2203	IFNAR1	IFNAR1	Ifnar1	IFNAR1	IFNAR1
gene_2204	MMP8	MMP8	Mmp8	MMP8	MMP8
gene_2205	SULT1B1	SULT1B1	Sult1b1	SULT1B1	SULT1B1
gene_2206	CLIC4	CLIC4	Clic4	CLIC4	CLIC4
gene_2207	SMTN	SMTN	Smtn	SMTN	SMTN
gene_2208	SCAND1	SCAND1	Scand1	SCAND1	SCAND1
gene_2209	HCK	HCK	Hck	HCK	HCK
gene_2210	MED1	MED1	Med1	MED1	MED1
gene_2211	TEX49	TEX49	Tex49	TEX49	TEX49
gene_2212	SLC2A13	SLC2A13	Slc2a13	SLC2A13	SLC2A13
gene_2213	SMIM14	SMIM14	Smim14	SMIM14	SMIM14
gene_2214	NAALAD2	NAALAD2	Naalad2	NAALAD2	NAALAD2
gene_2215	TMTC1	TMTC1	Tmtc1	TMTC1	TMTC1
gene_2216	SDCBP	SDCBP	Sdcbp	SDCBP	SDCBP
gene_2217	KCTD8	KCTD8	Kctd8	KCTD8	KCTD8
gene_2218	PDIK1L	PDIK1L	Pdik1l	PDIK1L	PDIK1L
gene_2219	SDAD1	SDAD1	Sdad1	SDAD1	SDAD1
gene_2220	CILP2	CILP2	Cilp2	CILP2	CILP2
gene_2221	HMGCS1	HMGCS1	Hmgcs1	HMGCS1	HMGCS1
gene_2222	SFXN4	SFXN4	Sfxn4	SFXN4	SFXN4
gene_2223	IGFBP4	IGFBP4	Igfbp4	IGFBP4	IGFBP4
gene_2224	SLC3A1	SLC3A1	Slc3a1	SLC3A1	SLC3A1
gene_2225	NIBAN2	NIBAN2	Niban2	NIBAN2	NIBAN2
gene_2226	PBX4	PBX4	Pbx4	PBX4	PBX4
gene_2227	TMIGD1	TMIGD1	Tmigd1	TMIGD1	TMIGD1
gene_2228	C11H12orf40	C12orf40	CN725425	C12orf40	C12orf40
gene_2229	LAPTM5	LAPTM5	Laptm5	LAPTM5	LAPTM5
gene_2230	CRTC1	CRTC1	Crtc1	CRTC1	CRTC1
gene_2231	MAP1B	MAP1B	Map1b	MAP1B	MAP1B
gene_2232	BECN1	BECN1	Becn1	BECN1	BECN1
gene_2233	LRRN1	LRRN1	Lrrn1	LRRN1	LRRN1
gene_2234	NPC2	NPC2	Npc2	NPC2	NPC2
gene_2235	SLC30A2	SLC30A2	Slc30a2	SLC30A2	SLC30A2
gene_2236	KCNH8	KCNH8	Kcnh8	KCNH8	KCNH8
gene_2237	PHACTR4	PHACTR4	Phactr4	PHACTR4	PHACTR4
gene_2238	SLC38A1	SLC38A1	Slc38a1	SLC38A1	SLC38A1
gene_2239	MMP27	MMP27	Mmp27	MMP27	MMP27
gene_2240	ARHGAP8	ARHGAP8	Arhgap8	ARHGAP8	ARHGAP8
gene_2241	DDX27	DDX27	Ddx27	DDX27	DDX27
gene_2242	GNAI2	GNAI2	Gnai2	GNAI2	GNAI2
gene_2243	KBTBD3	KBTBD3	Kbtbd3	KBTBD3	KBTBD3
gene_2244	SNW1	SNW1	Snw1	SNW1	SNW1
gene_2245	PTRH1	PTRH1	Ptrh1	PTRH1	PTRH1
gene_2246	ARHGAP42	ARHGAP42	Arhgap42	ARHGAP42	ARHGAP42
gene_2247	ESM1	ESM1	Esm1	ESM1	ESM1
gene_2248	DEPTOR	DEPTOR	Deptor	DEPTOR	DEPTOR
gene_2249	ARL4D	ARL4D	Arl4d	ARL4D	ARL4D
gene_2250	RGMB	RGMB	Rgmb	RGMB	RGMB
gene_2251	CNTD1	CNTD1	Cntd1	CNTD1	CNTD1
gene_2252	CFAP157	CFAP157	Cfap157	CFAP157	CFAP157
gene_2253	ANXA4	ANXA4	Anxa4	ANXA4	ANXA4
gene_2254	CABS1	CABS1	Cabs1	CABS1	CABS1
gene_2255	HOXB9	HOXB9	Hoxb9	HOXB9	HOXB9
gene_2256	CCL28	CCL28	Ccl28	CCL28	CCL28
gene_2257	TTC16	TTC16	Ttc16	TTC16	TTC16
gene_2258	UBXN2B	UBXN2B	Ubxn2b	UBXN2B	UBXN2B
gene_2259	KLHL26	KLHL26	Klhl26	KLHL26	KLHL26
gene_2260	ANKRD55	ANKRD55	Ankrd55	ANKRD55	ANKRD55
gene_2261	MTG2	MTG2	Mtg2	MTG2	MTG2
gene_2262	INSYN2A	INSYN2A	Insyn2a	INSYN2A	INSYN2A
gene_2263	CDC25B	CDC25B	Cdc25b	CDC25B	CDC25B
gene_2264	SLC35E1	SLC35E1	Slc35e1	SLC35E1	SLC35E1
gene_2265	CLRN3	CLRN3	Clrn3	CLRN3	CLRN3
gene_2266	UBE2K	UBE2K	Ube2k	UBE2K	UBE2K
gene_2267	SPNS3	SPNS3	Spns3	SPNS3	SPNS3
gene_2268	PTK2B	PTK2B	Ptk2b	PTK2B	PTK2B
gene_2269	WDR11	WDR11	Wdr11	WDR11	WDR11
gene_2270	SPATA9	SPATA9	Spata9	SPATA9	SPATA9
gene_2271	KLHL28	KLHL28	Klhl28	KLHL28	KLHL28
gene_2272	SH2D3C	SH2D3C	Sh2d3c	SH2D3C	SH2D3C
gene_2273	TMEM161A	TMEM161A	Tmem161a	TMEM161A	TMEM161A
gene_2274	PLD4	PLD4	Pld4	PLD4	PLD4
gene_2275	RFLNB	RFLNB	Rflnb	RFLNB	RFLNB
gene_2276	ZC3H12C	ZC3H12C	Zc3h12c	ZC3H12C	ZC3H12C
gene_2277	CRLF3	CRLF3	Crlf3	CRLF3	CRLF3
gene_2278	UBP1	UBP1	Ubp1	UBP1	UBP1
gene_2279	NOX4	NOX4	Nox4	NOX4	NOX4
gene_2280	TEX33	TEX33	Tex33	TEX33	TEX33
gene_2281	ACYP2	ACYP2	Acyp2	ACYP2	ACYP2
gene_2282	SLC8A3	SLC8A3	Slc8a3	SLC8A3	SLC8A3
gene_2283	PEX3	PEX3	Pex3	PEX3	PEX3
gene_2284	MPST	MPST	Mpst	MPST	MPST
gene_2285	JUP	JUP	Jup	JUP	JUP
gene_2286	TNMD	TNMD	Tnmd	TNMD	TNMD
gene_2287	KLF3	KLF3	Klf3	KLF3	KLF3
gene_2288	WDPCP	WDPCP	Wdpcp	WDPCP	WDPCP
gene_2289	HSF2	HSF2	Hsf2	HSF2	HSF2
gene_2290	PRDX3	PRDX3	Prdx3	PRDX3	PRDX3
gene_2291	C10H22orf23	C22orf23	1700088E04Rik	C22orf23	C22orf23
gene_2292	FRYL	FRYL	Fryl	FRYL	FRYL
gene_2293	FAM110D	FAM110D	Fam110d	FAM110D	FAM110D
gene_2294	ICMT	ICMT	Icmt	ICMT	ICMT
gene_2295	ARMC6	ARMC6	Armc6	ARMC6	ARMC6
gene_2296	CDK9	CDK9	Cdk9	CDK9	CDK9
gene_2297	AQP4	AQP4	Aqp4	AQP4	AQP4
gene_2298	POLR2F	POLR2F	Polr2f	POLR2F	POLR2F
gene_2299	AZI2	AZI2	Azi2	AZI2	AZI2
gene_2300	MARCHF3	MARCHF3	Marchf3	MARCHF3	MARCHF3
gene_2301	FPGS	FPGS	Fpgs	FPGS	FPGS
gene_2302	PSD2	PSD2	Psd2	PSD2	PSD2
gene_2303	TTC5	TTC5	Ttc5	TTC5	TTC5
gene_2304	TMC2	TMC2	Tmc2	TMC2	TMC2
gene_2305	TBX18	TBX18	Tbx18	TBX18	TBX18
gene_2306	CCNT1	CCNT1	Ccnt1	CCNT1	CCNT1
gene_2307	PICK1	PICK1	Pick1	PICK1	PICK1
gene_2308	ZNF217	ZNF217	Zfp217	ZNF217	ZNF217
gene_2309	ONECUT2	ONECUT2	Onecut2	ONECUT2	ONECUT2
gene_2310	TMEM171	TMEM171	Tmem171	TMEM171	TMEM171
gene_2311	TREM2	TREM2	Trem2	TREM2	TREM2
gene_2312	NARS1	NARS1	Nars	NARS1	NARS1
gene_2313	DNAAF9	DNAAF9	Dnaaf9	DNAAF9	DNAAF9
gene_2314	CCNB1IP1	CCNB1IP1	Ccnb1ip1	CCNB1IP1	CCNB1IP1
gene_2315	FANK1	FANK1	Fank1	FANK1	FANK1
gene_2316	TMEM115	TMEM115	Tmem115	TMEM115	TMEM115
gene_2317	HDAC2	HDAC2	Hdac2	HDAC2	HDAC2
gene_2318	PGGT1B	PGGT1B	Pggt1b	PGGT1B	PGGT1B
gene_2319	GNAT1	GNAT1	Gnat1	GNAT1	GNAT1
gene_2320	LDLRAP1	LDLRAP1	Ldlrap1	LDLRAP1	LDLRAP1
gene_2321	SFXN5	SFXN5	Sfxn5	SFXN5	SFXN5
gene_2322	BMX	BMX	Bmx	BMX	BMX
gene_2323	SMAD5	SMAD5	Smad5	SMAD5	SMAD5
gene_2324	NEURL2	NEURL2	Neurl2	NEURL2	NEURL2
gene_2325	ATP5IF1	ATP5IF1	Atpif1	ATP5IF1	ATP5IF1
gene_2326	PANK2	PANK2	Pank2	PANK2	PANK2
gene_2327	ACADSB	ACADSB	Acadsb	ACADSB	ACADSB
gene_2328	EXOSC7	EXOSC7	Exosc7	EXOSC7	EXOSC7
gene_2329	SDC3	SDC3	Sdc3	SDC3	SDC3
gene_2330	ATP8B1	ATP8B1	Atp8b1	ATP8B1	ATP8B1
gene_2331	PAFAH2	PAFAH2	Pafah2	PAFAH2	PAFAH2
gene_2332	RBM20	RBM20	Rbm20	RBM20	RBM20
gene_2333	ESF1	ESF1	Esf1	ESF1	ESF1
gene_2334	RNF180	RNF180	Rnf180	RNF180	RNF180
gene_2335	XPNPEP1	XPNPEP1	Xpnpep1	XPNPEP1	XPNPEP1
gene_2336	HYAL1	HYAL1	Hyal1	HYAL1	HYAL1
gene_2337	ATP6V1C1	ATP6V1C1	Atp6v1c1	ATP6V1C1	ATP6V1C1
gene_2338	mml-mir-122a	MIR122	Mir122	ssc-mir-122	MIR122
gene_2339	ALPK2	ALPK2	Alpk2	ALPK2	ALPK2
gene_2340	GZMA	GZMA	Gzma	GZMA	GZMA
gene_2341	DPM1	DPM1	Dpm1	DPM1	DPM1
gene_2342	EVC2	EVC2	Evc2	EVC2	EVC2
gene_2343	SESN2	SESN2	Sesn2	SESN2	SESN2
gene_2344	SDF2L1	SDF2L1	Sdf2l1	SDF2L1	SDF2L1
gene_2345	AP1S2	AP1S2	Ap1s2	AP1S2	AP1S2
gene_2346	BCLAF1	BCLAF1	Bclaf1	BCLAF1	BCLAF1
gene_2347	U6	U6	Gm23229	U6	RNU6-219P
gene_2348	PPIL2	PPIL2	Ppil2	PPIL2	PPIL2
gene_2349	NPRL2	NPRL2	Nprl2	NPRL2	NPRL2
gene_2350	TEP1	TEP1	Tep1	TEP1	TEP1
gene_2351	INO80C	INO80C	Ino80c	INO80C	INO80C
gene_2352	ZNF638	ZNF638	Zfp638	ZNF638	ZNF638
gene_2353	CTSA	CTSA	Ctsa	CTSA	CTSA
gene_2354	NCALD	NCALD	Ncald	NCALD	NCALD
gene_2355	YTHDC2	YTHDC2	Ythdc2	YTHDC2	YTHDC2
gene_2356	XAF1	XAF1	Xaf1	XAF1	XAF1
gene_2357	PTPRM	PTPRM	Ptprm	PTPRM	PTPRM
gene_2358	APEX2	APEX2	Apex2	APEX2	APEX2
gene_2359	ALAS2	ALAS2	Alas2	ALAS2	ALAS2
gene_2360	AJAP1	AJAP1	Ajap1	AJAP1	AJAP1
gene_2361	CCIN	CCIN	Ccin	CCIN	CCIN
gene_2362	PTAFR	PTAFR	Ptafr	PTAFR	PTAFR
gene_2363	KCNN2	KCNN2	Kcnn2	KCNN2	KCNN2
gene_2364	HNRNPD	HNRNPD	Hnrnpd	HNRNPD	HNRNPD
gene_2365	NKAIN1	NKAIN1	Nkain1	NKAIN1	NKAIN1
gene_2366	RHOD	RHOD	Rhod	RHOD	RHOD
gene_2367	KCTD6	KCTD6	Kctd6	KCTD6	KCTD6
gene_2368	SNRNP40	SNRNP40	Snrnp40	SNRNP40	SNRNP40
gene_2369	CASC3	CASC3	Casc3	CASC3	CASC3
gene_2370	LRRTM2	LRRTM2	Lrrtm2	LRRTM2	LRRTM2
gene_2371	FEM1C	FEM1C	Fem1c	FEM1C	FEM1C
gene_2372	RAB39A	RAB39A	Rab39	RAB39A	RAB39A
gene_2373	WDR70	WDR70	Wdr70	WDR70	WDR70
gene_2374	RB1CC1	RB1CC1	Rb1cc1	RB1CC1	RB1CC1
gene_2375	MED17	MED17	Med17	MED17	MED17
gene_2376	GJB3	GJB3	Gjb3	GJB3	GJB3
gene_2377	FLNA	FLNA	Flna	FLNA	FLNA
gene_2378	TRUB2	TRUB2	Trub2	TRUB2	TRUB2
gene_2379	GLB1	GLB1	Glb1	GLB1	GLB1
gene_2380	PRR15L	PRR15L	Prr15l	PRR15L	PRR15L
gene_2381	DNAJC16	DNAJC16	Dnajc16	DNAJC16	DNAJC16
gene_2382	ATAD5	ATAD5	Atad5	ATAD5	ATAD5
gene_2383	COQ4	COQ4	Coq4	COQ4	COQ4
gene_2384	FOXI2	FOXI2	Foxi2	FOXI2	FOXI2
gene_2385	PAIP1	PAIP1	Paip1	PAIP1	PAIP1
gene_2386	SLC18A2	SLC18A2	Slc18a2	SLC18A2	SLC18A2
gene_2387	CPA6	CPA6	Cpa6	CPA6	CPA6
gene_2388	NR1D1	NR1D1	Nr1d1	NR1D1	NR1D1
gene_2389	SLC27A4	SLC27A4	Slc27a4	SLC27A4	SLC27A4
gene_2390	ATL2	ATL2	Atl2	ATL2	ATL2
gene_2391	TM6SF2	TM6SF2	Tm6sf2	TM6SF2	TM6SF2
gene_2392	LIN54	LIN54	Lin54	LIN54	LIN54
gene_2393	UTP6	UTP6	Utp6	UTP6	UTP6
gene_2394	ABRAXAS2	ABRAXAS2	Abraxas2	ABRAXAS2	ABRAXAS2
gene_2395	ODF1	ODF1	Odf1	ODF1	ODF1
gene_2396	SUGP2	SUGP2	Sugp2	SUGP2	SUGP2
gene_2397	CABIN1	CABIN1	Cabin1	CABIN1	CABIN1
gene_2398	MED30	MED30	Med30	MED30	MED30
gene_2399	SHTN1	SHTN1	Shtn1	SHTN1	SHTN1
gene_2400	URM1	URM1	Urm1	URM1	URM1
gene_2401	KLHL33	KLHL33	Klhl33	KLHL33	KLHL33
gene_2402	OSGEP	OSGEP	Osgep	OSGEP	OSGEP
gene_2403	ANO10	ANO10	Ano10	ANO10	ANO10
gene_2404	RDH10	RDH10	Rdh10	RDH10	RDH10
gene_2405	HEPHL1	HEPHL1	Hephl1	HEPHL1	HEPHL1
gene_2406	mml-mir-219-2	MIR219A2	Mir219a-2	MIR219A2	MIR219A2
gene_2407	NCOA5	NCOA5	Ncoa5	NCOA5	NCOA5
gene_2408	SLC38A2	SLC38A2	Slc38a2	SLC38A2	SLC38A2
gene_2409	WASHC5	WASHC5	Washc5	WASHC5	WASHC5
gene_2410	ST8SIA5	ST8SIA5	St8sia5	ST8SIA5	ST8SIA5
gene_2411	VSTM5	VSTM5	Vstm5	VSTM5	VSTM5
gene_2412	EYA3	EYA3	Eya3	EYA3	EYA3
gene_2413	SAMHD1	SAMHD1	Samhd1	SAMHD1	SAMHD1
gene_2414	NOL8	NOL8	Nol8	NOL8	NOL8
gene_2415	AOC2	AOC2	Aoc2	AOC2	AOC2
gene_2416	GPR26	GPR26	Gpr26	GPR26	GPR26
gene_2417	ARHGAP28	ARHGAP28	Arhgap28	ARHGAP28	ARHGAP28
gene_2418	ATRNL1	ATRNL1	Atrnl1	ATRNL1	ATRNL1
gene_2419	HOXB4	HOXB4	Hoxb4	HOXB4	HOXB4
gene_2420	APEX1	APEX1	Apex1	APEX1	APEX1
gene_2421	ADGRG6	ADGRG6	Adgrg6	ADGRG6	ADGRG6
gene_2422	ANKRD40	ANKRD40	Ankrd40	ANKRD40	ANKRD40
gene_2423	RFESD	RFESD	Rfesd	RFESD	RFESD
gene_2424	BORCS8	MEF2B	Mef2b	MEF2B	MEF2B
gene_2425	RAB38	RAB38	Rab38	RAB38	RAB38
gene_2426	RGS20	RGS20	Rgs20	RGS20	RGS20
gene_2427	PPP4R3B	PPP4R3B	Ppp4r3b	PPP4R3B	PPP4R3B
gene_2428	CDK5RAP3	CDK5RAP3	Cdk5rap3	CDK5RAP3	CDK5RAP3
gene_2429	KREMEN1	KREMEN1	Kremen1	KREMEN1	KREMEN1
gene_2430	LIX1	LIX1	Lix1	LIX1	LIX1
gene_2431	LNX1	LNX1	Lnx1	LNX1	LNX1
gene_2432	STK32C	STK32C	Stk32c	STK32C	STK32C
